,word_count
2868,24
2869,22
2870,15
2871,14
2872,12
2873,14
2874,18
2875,21
2876,12
2877,23
2878,12
2879,25
2880,14
2881,17
2882,20
2883,29
2884,16
2885,24
2886,33
2887,16
2888,17
2889,13
2890,25
2891,31
2892,8
2893,25
2894,26
2895,23
2896,24
2897,23
2898,25
2899,18
2900,16
2901,20
2902,10
2903,17
2904,17
2905,19
2906,21
2907,19
2908,18
2909,11
2910,11
2911,14
2912,23
2913,27
2914,29
2915,21
2916,26
2917,34
2918,17
2919,25
2920,16
2921,21
2922,15
2923,16
2924,24
2925,16
2926,22
2927,17
2928,20
2929,17
2930,18
2931,21
2932,25
2933,21
2934,18
2935,15
2936,18
2937,16
2938,23
2939,20
2940,15
2941,15
2942,20
2943,31
2944,17
2945,21
2946,22
2947,19
2948,16
2949,13
2950,14
2951,23
2952,24
2953,30
2954,19
2955,21
2956,28
2957,20
2958,17
2959,16
2960,17
2961,8
2962,16
2963,25
2964,31
2965,15
2966,14
2967,19
2968,20
2969,27
2970,23
2971,21
2972,11
2973,20
2974,17
2975,12
2976,17
2977,19
2978,23
2979,13
2980,13
2981,20
2982,16
2983,15
2984,19
2985,15
2986,30
2987,28
2988,20
2989,22
2990,24
2991,32
2992,21
